Year,State_Abbr,State,Indicator,Percent,Low CI,High CI,Sample Size
2006,WY,Wyoming,Percent of infants who were exclusively breastfed through 3 months,45.6,39.9,51.5,342
2016,WI,Wisconsin,Percent of infants who were ever breastfed,83.9,77.6,88.6,282
2008,AL,Alabama,Percent of infants who were exclusively breastfed through 3 months,20.5,16.8,24.8,479
2015,AK,Alaska,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,11.4,7.6,16.7,259
2004,NE,Nebraska,Percent of infants who were exclusively breastfed through 6 months,10.9,7.1,16.4,320
2014,AL,Alabama,Percent of breastfed infants who were supplemented with infant formula before 6 months,38.3,28.3,49.4,126
2010,WY,Wyoming,Percent of infants who were breastfed at 12 months,24.1,18.6,30.5,232
2014,ID,Idaho,Percent of infants who were breastfed at 12 months,41.9,34.5,49.7,221
2006,PA,Pennsylvania,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,17.4,13.5,22.1,535
2004,IL,Illinois,Percent of infants who were exclusively breastfed through 3 months,31.7,27.5,36.1,883
2015,AL,Alabama,Percent of infants who were exclusively breastfed through 6 months,20.6,16.3,25.9,319
2007,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.5,9.8,18.2,275
2003,WY,Wyoming,Percent of infants who were ever breastfed,83.5,77.9,87.8,300
2016,NY,New York,Percent of infants who were ever breastfed,82.9,78.4,86.6,600
2000,FL,Florida,Percent of infants who were breastfed at 6 months,33.9,23.7,45.9,510
2015,RI,Rhode Island,Percent of breastfed infants who were supplemented with infant formula before 3 months,26,19.8,33.4,190
2006,KY,Kentucky,Percent of infants who were exclusively breastfed through 3 months,25.1,20.8,29.9,408
2008,PA,Pennsylvania,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,17.7,14.1,22.1,550
2008,NY,New York,Percent of infants who were exclusively breastfed through 3 months,32,28.4,35.8,772
2016,IN,Indiana,Percent of infants who were breastfed at 6 months,48.5,42,55.1,305
2013,KY,Kentucky,Percent of infants who were breastfed at 6 months,35.3,28.8,42.3,271
2011,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula before 6 months,40,29.7,51.3,115
2015,IN,Indiana,Percent of infants who were ever breastfed,78.8,72.3,84.2,289
2012,NV,Nevada,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,23.8,17.6,31.3,250
2015,NV,Nevada,Percent of infants who were exclusively breastfed through 3 months,44.1,37.5,50.9,278
2012,KY,Kentucky,Percent of infants who were exclusively breastfed through 3 months,32.3,25,40.6,232
2009,LA,Louisiana,Percent of infants who were breastfed at 12 months,12.6,9.1,17.1,423
2010,NJ,New Jersey,Percent of infants who were breastfed at 6 months,47.4,40.5,54.3,292
2014,ND,North Dakota,Percent of infants who were ever breastfed,86.7,80.1,91.3,231
2014,MA,Massachusetts,Percent of breastfed infants who were supplemented with infant formula before 6 months,34.2,27.2,41.8,249
2014,NC,North Carolina,Percent of breastfed infants who were supplemented with infant formula before 3 months,23.8,17.4,31.5,243
2007,TX,Texas,Percent of infants who were ever breastfed,77.3,73.6,80.6,1939
2011,PA,Pennsylvania,Percent of infants who were breastfed at 6 months,45.7,40.2,51.3,638
2010,MI,Michigan,Percent of infants who were ever breastfed,76.1,68.4,82.5,277
2005,SC,South Carolina,Percent of infants who were ever breastfed,66.5,61.1,71.6,471
2005,MO,Missouri,Percent of infants who were breastfed at 12 months,15.4,11.8,19.9,381
2011,AZ,Arizona,Percent of breastfed infants who were supplemented with infant formula before 3 months,34.9,26.6,44.2,187
2010,WA,Washington,Percent of infants who were ever breastfed,91.2,85.1,95,239
2010,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,25.8,19.3,33.6,276
2007,NJ,New Jersey,Percent of infants who were breastfed at 12 months,20.3,16.4,24.8,515
2016,KS,Kansas,Percent of infants who were ever breastfed,88,81.7,92.3,201
2014,NE,Nebraska,Percent of infants who were exclusively breastfed through 3 months,48.9,41.3,56.5,234
2009,NC,North Carolina,Percent of infants who were breastfed at 12 months,20.4,15.8,25.9,352
2001,CT,Connecticut,Percent of infants who were breastfed at 6 months,40.7,35.1,46.5,334
2011,OH,Ohio,Percent of infants who were exclusively breastfed through 3 months,35.5,29.1,42.6,257
2013,IL,Illinois,Percent of infants who were breastfed at 6 months,52.5,47.6,57.4,623
2014,TX,Texas,Percent of infants who were breastfed at 12 months,30,26.9,33.4,1581
2004,TX,Texas,Percent of breastfed infants who were supplemented with infant formula before 6 months,57.4,51.9,62.8,858
2006,ID,Idaho,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.2,9.4,18.1,263
2004,CT,Connecticut,Percent of infants who were breastfed at 12 months,23.2,19,28,399
2010,HI,Hawaii,Percent of infants who were exclusively breastfed through 3 months,49.1,42.2,56,290
2015,KY,Kentucky,Percent of infants who were ever breastfed,73.9,67.6,79.4,270
2006,CA,California,Percent of breastfed infants who were supplemented with infant formula before 6 months,42.1,36.5,48,686
2005,CA,California,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,26.9,23,31.3,1263
2012,WV,West Virginia,Percent of infants who were breastfed at 6 months,34.3,27.3,42.1,250
2006,CA,California,Percent of infants who were breastfed at 6 months,53.6,49.1,58.1,1188
2008,SC,South Carolina,Percent of infants who were breastfed at 6 months,27.3,22.9,32.3,410
2000,DE,Delaware,Percent of infants who were breastfed at 12 months,16,6.9,32.9,160
2003,NM,New Mexico,Percent of infants who were breastfed at 12 months,28.7,24,33.8,492
2013,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,11.1,7.5,16.4,282
2007,NE,Nebraska,Percent of infants who were exclusively breastfed through 3 months,40.3,34.4,46.5,327
2004,NM,New Mexico,Percent of infants who were exclusively breastfed through 3 months,37.5,32.1,43.2,538
2004,AR,Arkansas,Percent of infants who were exclusively breastfed through 3 months,19.6,15.2,24.8,362
2011,AL,Alabama,Percent of infants who were breastfed at 12 months,11.8,8.1,16.9,224
2013,AR,Arkansas,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,20.1,13.7,28.5,176
2015,AZ,Arizona,Percent of breastfed infants who were supplemented with infant formula before 3 months,22.5,16.8,29.6,223
2007,DC,District of Columbia,Percent of infants who were breastfed at 6 months,45.5,39.8,51.3,516
2013,OH,Ohio,Percent of infants who were breastfed at 12 months,25.6,20,32,263
2013,IN,Indiana,Percent of breastfed infants who were supplemented with infant formula before 3 months,23.7,17,32.1,153
2010,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.8,11.7,23.5,231
2010,IA,Iowa,Percent of infants who were ever breastfed,71.8,63.5,78.9,265
2009,IA,Iowa,Percent of infants who were breastfed at 6 months,48.8,42.4,55.2,343
2010,CO,Colorado,Percent of infants who were exclusively breastfed through 6 months,21.2,14.8,29.3,254
2011,NC,North Carolina,Percent of infants who were breastfed at 6 months,48.3,40.6,56.1,259
2009,TN,Tennessee,Percent of breastfed infants who were supplemented with infant formula before 6 months,35.2,25.8,46,148
2013,WI,Wisconsin,Percent of infants who were breastfed at 12 months,34.1,27.4,41.5,239
2010,SD,South Dakota,Percent of infants who were breastfed at 6 months,42.5,35.2,50.2,245
2004,TN,Tennessee,Percent of infants who were ever breastfed,66.1,60.8,71,825
2012,MO,Missouri,Percent of breastfed infants who were supplemented with infant formula before 3 months,26.3,17.2,38,143
2008,AZ,Arizona,Percent of infants who were breastfed at 6 months,51.4,45,57.8,417
2015,NH,New Hampshire,Percent of infants who were breastfed at 12 months,45.6,39.2,52.1,273
2013,MI,Michigan,Percent of infants who were breastfed at 12 months,31.8,25.3,39,253
2010,DC,District of Columbia,Percent of breastfed infants who were supplemented with infant formula before 3 months,42.6,34.5,51.1,225
2014,UT,Utah,Percent of infants who were breastfed at 6 months,65.5,58.2,72.1,262
2006,WI,Wisconsin,Percent of infants who were ever breastfed,76.9,70.9,82.1,330
2010,WI,Wisconsin,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.6,20.1,36.7,151
2010,MA,Massachusetts,Percent of breastfed infants who were supplemented with infant formula before 3 months,32.9,25.3,41.5,176
2013,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula before 6 months,28.7,21.2,37.6,139
2012,MN,Minnesota,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,18.5,11.8,27.9,178
2013,PA,Pennsylvania,Percent of infants who were breastfed at 12 months,31.9,26,38.4,627
2010,AK,Alaska,Percent of infants who were ever breastfed,84.8,79,89.2,281
2004,HI,Hawaii,Percent of breastfed infants who were supplemented with infant formula before 3 months,38.5,31.4,46.2,232
2002,VT,Vermont,Percent of infants who were ever breastfed,77.1,70.8,82.3,296
2009,NJ,New Jersey,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,27.1,22.1,32.8,384
2005,VA,Virginia,Percent of infants who were ever breastfed,74.4,68.1,79.8,411
2002,NE,Nebraska,Percent of infants who were breastfed at 6 months,39.4,33.4,45.7,347
2006,AZ,Arizona,Percent of breastfed infants who were supplemented with infant formula before 6 months,45,37,53.2,208
2005,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 3 months,38.2,31.4,45.5,254
2005,WY,Wyoming,Percent of breastfed infants who were supplemented with infant formula before 3 months,20.2,14.7,27.3,207
2006,WA,Washington,Percent of breastfed infants who were supplemented with infant formula before 6 months,32,26.5,38,393
2006,WI,Wisconsin,Percent of infants who were breastfed at 12 months,24.3,19.4,29.9,330
2016,AK,Alaska,Percent of breastfed infants who were supplemented with infant formula before 3 months,23.2,17.6,30,213
2007,IN,Indiana,Percent of infants who were breastfed at 12 months,19.3,15.5,23.7,822
2016,IL,Illinois,Percent of infants who were exclusively breastfed through 6 months,24.3,20.3,28.9,540
2003,MT,Montana,Percent of infants who were breastfed at 6 months,49.3,43.5,55.2,381
2010,KS,Kansas,Percent of breastfed infants who were supplemented with infant formula before 3 months,35.1,26.2,45.3,161
2006,DC,District of Columbia,Percent of infants who were ever breastfed,72.1,66.4,77.2,428
2002,TN,Tennessee,Percent of infants who were breastfed at 12 months,13.7,10.5,17.8,939
2005,DE,Delaware,Percent of infants who were breastfed at 6 months,30.9,26.1,36.1,418
2010,ND,North Dakota,Percent of infants who were breastfed at 12 months,18.3,13.5,24.4,239
2015,MI,Michigan,Percent of infants who were breastfed at 6 months,55.6,48.1,62.9,277
2016,DC,District of Columbia,Percent of infants who were exclusively breastfed through 3 months,46.4,39.8,53.1,335
2010,WI,Wisconsin,Percent of infants who were exclusively breastfed through 6 months,16.7,12,22.8,232
2004,NJ,New Jersey,Percent of infants who were exclusively breastfed through 6 months,11.5,8.5,15.3,678
2015,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula before 6 months,28.2,20.4,37.6,138
2016,TN,Tennessee,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.3,10.9,23.7,209
2005,ID,Idaho,Percent of infants who were exclusively breastfed through 3 months,49.7,43.4,56,274
2004,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula before 3 months,35.9,29.5,42.8,366
2008,WA,Washington,Percent of infants who were breastfed at 12 months,32.1,27.4,37.2,520
2012,AK,Alaska,Percent of infants who were ever breastfed,87.7,82.2,91.7,278
2014,NV,Nevada,Percent of infants who were breastfed at 12 months,33.2,26.6,40.5,227
2000,AK,Alaska,Percent of infants who were ever breastfed,77.2,60.6,88.2,140
2016,MI,Michigan,Percent of infants who were exclusively breastfed through 3 months,48.7,42.1,55.4,312
2009,MS,Mississippi,Percent of infants who were breastfed at 6 months,26.2,20.5,32.8,391
2006,NM,New Mexico,Percent of breastfed infants who were supplemented with infant formula before 6 months,37.8,30.2,46.1,207
2015,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula before 6 months,31.1,24,39.1,183
2013,HI,Hawaii,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,14.6,10.2,20.5,247
2014,CO,Colorado,Percent of infants who were breastfed at 12 months,40.3,33.2,47.9,257
2007,DC,District of Columbia,Percent of breastfed infants who were supplemented with infant formula before 6 months,50.7,43.3,58,304
2011,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,22.6,15.8,31.3,191
2009,WV,West Virginia,Percent of infants who were exclusively breastfed through 3 months,25.7,20.8,31.3,414
2014,CA,California,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,11,7.1,16.7,377
2012,MI,Michigan,Percent of infants who were exclusively breastfed through 3 months,34.8,27.1,43.3,217
2001,NJ,New Jersey,Percent of infants who were breastfed at 12 months,17.8,14.2,22.1,818
2002,VT,Vermont,Percent of infants who were breastfed at 6 months,47.9,41.3,54.6,296
2013,ND,North Dakota,Percent of infants who were exclusively breastfed through 3 months,49,42.2,55.8,268
2011,DC,District of Columbia,Percent of infants who were breastfed at 12 months,30,23.9,36.9,257
2014,ME,Maine,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.8,9.4,19.8,251
2013,KY,Kentucky,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.3,8.5,20.2,194
2005,KY,Kentucky,Percent of infants who were breastfed at 12 months,11.2,8.4,14.8,392
2011,GA,Georgia,Percent of infants who were exclusively breastfed through 3 months,27.2,19.5,36.5,189
2008,NJ,New Jersey,Percent of infants who were exclusively breastfed through 6 months,11.8,8.7,15.8,477
2015,TX,Texas,Percent of infants who were exclusively breastfed through 3 months,48,44.6,51.5,1832
2004,NV,Nevada,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,30,24.2,36.6,265
2016,UT,Utah,Percent of infants who were exclusively breastfed through 3 months,55.5,48.9,61.9,287
2014,NV,Nevada,Percent of infants who were exclusively breastfed through 6 months,25,19,32.1,225
2011,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula before 6 months,28.9,20.7,38.7,135
2002,NC,North Carolina,Percent of infants who were breastfed at 12 months,19.7,15.4,24.9,364
2012,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula before 3 months,33.8,25.3,43.5,220
2005,NM,New Mexico,Percent of infants who were ever breastfed,79.3,72.4,84.8,345
2010,AL,Alabama,Percent of infants who were exclusively breastfed through 6 months,13.1,8.6,19.6,248
2015,AL,Alabama,Percent of infants who were breastfed at 6 months,39.1,33.2,45.3,328
2008,RI,Rhode Island,Percent of infants who were ever breastfed,70.2,63.8,75.9,390
2015,MI,Michigan,Percent of infants who were ever breastfed,77.7,70.7,83.5,277
2004,AZ,Arizona,Percent of infants who were breastfed at 12 months,22.2,18.7,26.2,710
2011,ID,Idaho,Percent of infants who were breastfed at 12 months,30.5,23.9,37.9,216
2013,MS,Mississippi,Percent of infants who were ever breastfed,52,44.4,59.5,272
2008,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula before 6 months,40.3,31.3,50,130
2013,CO,Colorado,Percent of infants who were breastfed at 12 months,40.6,34,47.6,281
2010,IN,Indiana,Percent of breastfed infants who were supplemented with infant formula before 3 months,35.1,26.7,44.6,162
2004,ID,Idaho,Percent of breastfed infants who were supplemented with infant formula before 3 months,32.7,25.7,40.5,187
2008,VA,Virginia,Percent of infants who were ever breastfed,81.4,76.3,85.7,530
2009,CA,California,Percent of infants who were exclusively breastfed through 6 months,21.2,16.8,26.3,513
2007,AK,Alaska,Percent of infants who were exclusively breastfed through 6 months,22.4,17.9,27.8,312
2005,NH,New Hampshire,Percent of infants who were breastfed at 12 months,25.1,20,31,304
2006,ID,Idaho,Percent of breastfed infants who were supplemented with infant formula before 6 months,33.7,26.5,41.8,186
2009,FL,Florida,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,32.2,25.8,39.2,344
2015,TN,Tennessee,Percent of infants who were ever breastfed,75.7,68.2,81.9,275
2002,HI,Hawaii,Percent of infants who were ever breastfed,80.5,74.9,85.1,385
2013,HI,Hawaii,Percent of infants who were exclusively breastfed through 6 months,30,24.4,36.4,269
2009,VT,Vermont,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,13.8,9.6,19.5,303
2008,IL,Illinois,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,27.7,23.2,32.7,786
2004,MA,Massachusetts,Percent of breastfed infants who were supplemented with infant formula before 3 months,38.9,31.8,46.5,369
2013,OH,Ohio,Percent of breastfed infants who were supplemented with infant formula before 3 months,25.6,18.3,34.4,163
2011,WA,Washington,Percent of infants who were exclusively breastfed through 3 months,46.8,38.3,55.4,206
2008,MA,Massachusetts,Percent of infants who were breastfed at 12 months,22.2,17.9,27.1,437
2004,DC,District of Columbia,Percent of infants who were exclusively breastfed through 6 months,12.2,9.4,15.7,450
2004,CA,California,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,25.4,21.7,29.5,1786
2016,VA,Virginia,Percent of breastfed infants who were supplemented with infant formula before 6 months,36.7,27.1,47.5,307
2010,ID,Idaho,Percent of breastfed infants who were supplemented with infant formula before 3 months,36.6,28.5,45.5,204
2016,MS,Mississippi,Percent of infants who were breastfed at 6 months,38.4,33,44.2,421
2013,WA,Washington,Percent of infants who were ever breastfed,87.4,81.4,91.7,308
2012,ID,Idaho,Percent of infants who were exclusively breastfed through 6 months,20.2,14.4,27.5,217
2004,OK,Oklahoma,Percent of infants who were ever breastfed,66.6,60.7,71.9,443
2004,HI,Hawaii,Percent of infants who were exclusively breastfed through 3 months,37.5,31.5,43.9,324
2005,MS,Mississippi,Percent of breastfed infants who were supplemented with infant formula before 3 months,43.6,34.3,53.3,159
2004,PA,Pennsylvania,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,17,13.2,21.6,681
2010,UT,Utah,Percent of infants who were breastfed at 6 months,62.3,54.1,69.9,247
2003,MO,Missouri,Percent of infants who were breastfed at 6 months,32.2,27.8,37,658
2012,OH,Ohio,Percent of infants who were breastfed at 6 months,39.4,32,47.3,253
2004,CA,California,Percent of breastfed infants who were supplemented with infant formula before 6 months,40,34.9,45.3,1169
2010,NV,Nevada,Percent of infants who were breastfed at 12 months,19.5,14.5,25.8,295
2010,GA,Georgia,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,27,19.1,36.5,202
2016,MI,Michigan,Percent of infants who were ever breastfed,83,76.9,87.7,321
2011,OK,Oklahoma,Percent of infants who were breastfed at 6 months,38.4,32.1,45,299
2004,AL,Alabama,Percent of infants who were ever breastfed,53.9,47.9,59.8,453
2004,MA,Massachusetts,Percent of infants who were exclusively breastfed through 3 months,31.8,26.6,37.6,538
2012,SC,South Carolina,Percent of infants who were breastfed at 6 months,38.4,30.8,46.6,256
2013,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,14.9,9.8,22.1,205
2009,CA,California,Percent of infants who were breastfed at 12 months,33.1,28.3,38.4,523
2015,OR,Oregon,Percent of infants who were ever breastfed,89.4,83.7,93.3,247
2009,NV,Nevada,Percent of breastfed infants who were supplemented with infant formula before 3 months,36.5,28.4,45.5,229
2006,TX,Texas,Percent of infants who were exclusively breastfed through 3 months,33.9,30.1,38,1814
2007,ME,Maine,Percent of infants who were ever breastfed,77.6,72.3,82.2,364
2013,FL,Florida,Percent of breastfed infants who were supplemented with infant formula before 6 months,37,27.8,47.1,176
2001,KS,Kansas,Percent of infants who were ever breastfed,75,69,80.1,322
2015,KS,Kansas,Percent of infants who were breastfed at 12 months,36.5,29.4,44.3,219
2007,OK,Oklahoma,Percent of infants who were breastfed at 6 months,29.4,24.7,34.5,444
2005,CA,California,Percent of infants who were ever breastfed,84.4,80.9,87.3,1496
2002,GA,Georgia,Percent of infants who were ever breastfed,61.5,55.5,67.2,694
2016,CO,Colorado,Percent of infants who were breastfed at 6 months,67,59,74.1,290
2011,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,10.5,6.7,16.2,201
2001,NH,New Hampshire,Percent of infants who were ever breastfed,75.9,70.3,80.7,344
2015,AR,Arkansas,Percent of infants who were exclusively breastfed through 6 months,20.4,15.4,26.5,278
2012,WA,Washington,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.1,10.4,24.1,208
2000,MT,Montana,Percent of infants who were breastfed at 12 months,21.6,12.9,33.9,148
2008,ND,North Dakota,Percent of infants who were exclusively breastfed through 3 months,41,35.6,46.7,327
2009,PA,Pennsylvania,Percent of infants who were breastfed at 12 months,21.7,18,25.8,845
2009,KY,Kentucky,Percent of infants who were ever breastfed,59.9,53,66.4,371
2004,KY,Kentucky,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,14.1,10,19.5,261
2016,ID,Idaho,Percent of infants who were breastfed at 12 months,39.5,32,47.5,200
2014,TN,Tennessee,Percent of infants who were breastfed at 6 months,57,48.8,64.7,226
2012,PA,Pennsylvania,Percent of infants who were breastfed at 12 months,28.8,23.8,34.3,672
2016,NE,Nebraska,Percent of infants who were exclusively breastfed through 6 months,27.5,21.4,34.5,221
2013,MA,Massachusetts,Percent of infants who were breastfed at 6 months,67.9,61.3,73.8,343
2014,WV,West Virginia,Percent of infants who were breastfed at 12 months,20.2,15.7,25.6,275
2010,MA,Massachusetts,Percent of infants who were breastfed at 12 months,32.7,26.2,39.9,244
2013,MN,Minnesota,Percent of infants who were breastfed at 6 months,65.9,59.4,71.8,316
2013,RI,Rhode Island,Percent of infants who were ever breastfed,81.8,75.8,86.6,275
2011,CT,Connecticut,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,25.6,19,33.6,212
2008,DC,District of Columbia,Percent of infants who were exclusively breastfed through 6 months,17,13.1,21.8,486
2014,FL,Florida,Percent of infants who were exclusively breastfed through 3 months,40.3,33.4,47.6,344
2000,ND,North Dakota,Percent of infants who were breastfed at 12 months,7.9,4.7,13.2,116
2000,WV,West Virginia,Percent of infants who were breastfed at 12 months,13.7,7,25.1,150
2005,NY,New York,Percent of breastfed infants who were supplemented with infant formula before 6 months,58.7,53,64.2,359
2013,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.9,20.8,36.4,156
2013,NE,Nebraska,Percent of infants who were breastfed at 12 months,30.1,23.9,37.2,238
2009,NH,New Hampshire,Percent of infants who were ever breastfed,81.9,75,87.3,316
2012,IN,Indiana,Percent of infants who were breastfed at 6 months,45.4,38.7,52.2,328
2010,KS,Kansas,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,21.4,15.3,29.2,209
2008,TX,Texas,Percent of infants who were breastfed at 6 months,40.2,36.6,43.9,2093
2004,SC,South Carolina,Percent of infants who were exclusively breastfed through 6 months,5.9,4.1,8.6,453
2001,TN,Tennessee,Percent of infants who were breastfed at 12 months,13.4,10.7,16.7,1092
2016,AZ,Arizona,Percent of infants who were breastfed at 12 months,33,27.3,39.1,296
2010,NE,Nebraska,Percent of breastfed infants who were supplemented with infant formula before 6 months,41.9,31.6,52.9,135
2012,MT,Montana,Percent of infants who were breastfed at 6 months,59.7,50.5,68.2,216
2005,MO,Missouri,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,16.5,12.1,22,284
2007,AR,Arkansas,Percent of infants who were breastfed at 12 months,12.9,9.8,16.9,474
2005,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,18.6,13.7,24.6,248
2009,AZ,Arizona,Percent of infants who were ever breastfed,72.1,65.1,78.1,393
2009,KY,Kentucky,Percent of infants who were exclusively breastfed through 6 months,10.8,7.3,15.6,367
2006,CO,Colorado,Percent of infants who were breastfed at 12 months,33,26.8,39.8,434
2000,NE,Nebraska,Percent of infants who were breastfed at 6 months,41.4,26.5,57.9,146
2015,UT,Utah,Percent of breastfed infants who were supplemented with infant formula before 6 months,32.2,24.6,40.9,174
2000,NC,North Carolina,Percent of infants who were breastfed at 6 months,31.5,21.6,43.5,155
2005,KS,Kansas,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,18.4,13.2,24.9,264
2008,MN,Minnesota,Percent of infants who were exclusively breastfed through 6 months,16.4,12.6,21.1,360
2010,SC,South Carolina,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,14.3,9.4,21,201
2009,CO,Colorado,Percent of infants who were exclusively breastfed through 3 months,44.8,37,52.9,424
2006,NJ,New Jersey,Percent of infants who were ever breastfed,80.5,75.7,84.5,484
2014,ND,North Dakota,Percent of infants who were exclusively breastfed through 3 months,51.4,44.1,58.7,224
2009,SC,South Carolina,Percent of infants who were exclusively breastfed through 3 months,28.9,23.5,35.1,363
2005,DE,Delaware,Percent of infants who were breastfed at 12 months,16.1,12.5,20.4,418
2004,AZ,Arizona,Percent of breastfed infants who were supplemented with infant formula before 3 months,35.6,30.2,41.5,397
2015,VT,Vermont,Percent of infants who were exclusively breastfed through 3 months,62.8,55.7,69.4,241
2006,NH,New Hampshire,Percent of infants who were breastfed at 12 months,30.2,25,36,316
2012,TN,Tennessee,Percent of infants who were breastfed at 12 months,21.3,16,27.7,267
2012,CT,Connecticut,Percent of breastfed infants who were supplemented with infant formula before 3 months,36.4,27.8,46,163
2000,TN,Tennessee,Percent of infants who were ever breastfed,53.8,42.1,65.1,473
2013,IN,Indiana,Percent of infants who were breastfed at 6 months,37.7,31.2,44.8,248
2004,VA,Virginia,Percent of infants who were breastfed at 12 months,24.2,20.1,28.8,481
2007,TX,Texas,Percent of breastfed infants who were supplemented with infant formula before 3 months,46.1,40.9,51.3,1211
2015,IL,Illinois,Percent of infants who were breastfed at 12 months,33.8,29.4,38.5,535
2005,AK,Alaska,Percent of infants who were exclusively breastfed through 3 months,41.2,35.1,47.6,294
2011,MT,Montana,Percent of breastfed infants who were supplemented with infant formula before 6 months,25.4,17.6,35.3,122
2012,ND,North Dakota,Percent of infants who were breastfed at 12 months,24.4,18.9,30.9,321
2016,NJ,New Jersey,Percent of infants who were ever breastfed,88.8,84.2,92.2,411
2003,KY,Kentucky,Percent of infants who were breastfed at 6 months,20.5,16.5,25.2,366
2016,MD,Maryland,Percent of breastfed infants who were supplemented with infant formula before 3 months,35.1,27.5,43.5,348
2015,NJ,New Jersey,Percent of breastfed infants who were supplemented with infant formula before 6 months,43,35.7,50.5,249
2011,IL,Illinois,Percent of breastfed infants who were supplemented with infant formula before 6 months,44.1,36.9,51.5,280
2005,ND,North Dakota,Percent of infants who were ever breastfed,68.7,62.6,74.3,322
2010,OH,Ohio,Percent of infants who were exclusively breastfed through 6 months,13,8.9,18.5,249
2007,GA,Georgia,Percent of infants who were breastfed at 6 months,31.9,26.9,37.3,429
2011,RI,Rhode Island,Percent of infants who were ever breastfed,79.7,73.3,84.8,249
2015,NH,New Hampshire,Percent of breastfed infants who were supplemented with infant formula before 3 months,22,16.2,29.1,207
2012,MS,Mississippi,Percent of breastfed infants who were supplemented with infant formula before 6 months,42.1,29,56.5,76
2001,IA,Iowa,Percent of infants who were breastfed at 12 months,13.4,9.9,17.9,304
2008,DC,District of Columbia,Percent of infants who were breastfed at 12 months,29.1,24.5,34.3,497
2014,PA,Pennsylvania,Percent of infants who were breastfed at 6 months,53.6,47.6,59.6,642
2011,MS,Mississippi,Percent of breastfed infants who were supplemented with infant formula before 3 months,24.8,15.9,36.4,105
2004,GA,Georgia,Percent of breastfed infants who were supplemented with infant formula before 3 months,40.2,33.1,47.7,379
2015,IN,Indiana,Percent of breastfed infants who were supplemented with infant formula before 3 months,22.4,16.2,30.2,199
2002,CT,Connecticut,Percent of infants who were ever breastfed,75,68.5,80.5,314
2008,KS,Kansas,Percent of infants who were breastfed at 12 months,23.6,19,28.8,395
2008,KS,Kansas,Percent of infants who were exclusively breastfed through 6 months,12.2,9.1,16.2,388
2003,VT,Vermont,Percent of infants who were breastfed at 12 months,32.9,26.8,39.6,277
2011,NM,New Mexico,Percent of infants who were breastfed at 12 months,28.3,22.3,35.1,247
2000,OH,Ohio,Percent of infants who were breastfed at 12 months,16.3,9.8,25.8,464
2006,IA,Iowa,Percent of breastfed infants who were supplemented with infant formula before 3 months,27.3,20.5,35.3,191
2013,IA,Iowa,Percent of infants who were ever breastfed,80.5,73.4,86,239
